# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,
#,,,,,
#,,,,,
# User preference: *,,,,,
#,,,,,
# COLUMN pl_name:        Planet Name,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,
# COLUMN disc_year:      Discovery Year,,,,,
# COLUMN releasedate:    Release Date,,,,,
#,,,,,
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,releasedate
11 Com b,2,1,Radial Velocity,2007,19/09/2023
11 Com b,2,1,Radial Velocity,2007,23/07/2014
11 Com b,2,1,Radial Velocity,2007,14/05/2014
11 UMi b,1,1,Radial Velocity,2009,23/07/2014
11 UMi b,1,1,Radial Velocity,2009,14/05/2014
11 UMi b,1,1,Radial Velocity,2009,06/09/2018
14 And b,1,1,Radial Velocity,2008,14/05/2014
14 And b,1,1,Radial Velocity,2008,19/09/2023
14 And b,1,1,Radial Velocity,2008,23/07/2014
14 Her b,1,2,Radial Velocity,2002,12/06/2023
14 Her b,1,2,Radial Velocity,2002,21/08/2014
14 Her b,1,2,Radial Velocity,2002,21/08/2014
14 Her b,1,2,Radial Velocity,2002,20/09/2021
14 Her b,1,2,Radial Velocity,2002,21/08/2014
14 Her b,1,2,Radial Velocity,2002,06/09/2018
14 Her b,1,2,Radial Velocity,2002,14/05/2014
14 Her b,1,2,Radial Velocity,2002,21/08/2014
16 Cyg B b,3,1,Radial Velocity,1996,06/09/2018
16 Cyg B b,3,1,Radial Velocity,1996,18/09/2014
16 Cyg B b,3,1,Radial Velocity,1996,20/09/2021
16 Cyg B b,3,1,Radial Velocity,1996,18/09/2014
16 Cyg B b,3,1,Radial Velocity,1996,21/08/2014
16 Cyg B b,3,1,Radial Velocity,1996,10/09/2015
17 Sco b,1,1,Radial Velocity,2020,25/10/2021
18 Del b,2,1,Radial Velocity,2008,23/07/2014
18 Del b,2,1,Radial Velocity,2008,19/09/2023
18 Del b,2,1,Radial Velocity,2008,14/05/2014
1RXS J160929.1-210524 b,1,1,Imaging,2008,01/04/2015
1RXS J160929.1-210524 b,1,1,Imaging,2008,01/04/2015
1RXS J160929.1-210524 b,1,1,Imaging,2008,01/04/2015
1RXS J160929.1-210524 b,1,1,Imaging,2008,14/05/2014
24 Boo b,1,1,Radial Velocity,2018,19/09/2023
24 Boo b,1,1,Radial Velocity,2018,26/04/2018
24 Sex b,1,2,Radial Velocity,2010,14/05/2014
24 Sex c,1,2,Radial Velocity,2010,14/05/2014
2M0437 b,1,1,Imaging,2021,13/12/2021
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,03/09/2020
2MASS J01225093-2439505 b,1,1,Imaging,2013,03/09/2015
2MASS J01225093-2439505 b,1,1,Imaging,2013,14/05/2014
2MASS J02192210-3925225 b,1,1,Imaging,2015,14/05/2015
2MASS J0249-0557 c,2,1,Imaging,2018,13/05/2024
2MASS J03590986+2009361 b,1,1,Imaging,2024,08/05/2024
